,Unnamed: 0,Titre,Sous-titre,Contenu,Contenu_corrected,cleaned_text,text_without_SW,bigram_freq,trigram_freq,token_freq
0,0,5.1 Purpose and Objectives of the Identify Risks Process,,"A risk cannot be managed unless it is ﬁ rst identiﬁ ed. Consequently, after risk management planning has
been completed, the ﬁ rst process in the iterative Project Risk Management process aims to identify all the
knowable risks to project objectives.
It is, however, impossible to identify all the risks at the outset of a project. Over time, the level of project
risk exposure changes as a result of the decisions and actions taken previously in the project (internal change)
and of externally imposed change.
The purpose of risk identiﬁ cation is to identify risks to the maximum extent that is practicable. The fact that
some risks are unknowable or emergent requires the Identify Risk process to be iterative, repeating the Identify
Risks process to ﬁ nd new risks which have become knowable since the previous iteration of the process.
When a risk is ﬁ rst identiﬁ ed, potential responses may also be identiﬁ ed at the same time. These should be
recorded during the Identify Risks process and considered for immediate action if such action is appropriate.
Where such responses are not implemented immediately, these should be considered during the Plan Risk
Responses process.",A risk cannot be managed unless it is i rest identic edh consequently after risk management planning has been completed the i rest process in the iterative Project Risk Management process aims to identify all the knowable risks to project objectives It is however impossible to identify all the risks at the outset of a project Over time the level of project risk exposure changes as a result of the decisions and actions taken previously in the project internal change and of externally imposed change The purpose of risk identic cation is to identify risks to the maximum extent that is practicable The fact that some risks are unknowable or emergent requires the Identify Risk process to be iterative repeating the Identify Risks process to i and new risks which have become knowable since the previous iteration of the process When a risk is i rest identic edh potential responses may also be identic end at the same time These should be recorded during the Identify Risks process and considered for immediate action if such action is appropriate Where such responses are not implemented immediately these should be considered during the Plan Risk Responses process,a risk cannot be managed unless it is i rest identic edh consequently after risk management planning has been completed the i rest process in the iterative project risk management process aims to identify all the knowable risks to project objectives it is however impossible to identify all the risks at the outset of a project over time the level of project risk exposure changes as a result of the decisions and actions taken previously in the project internal change and of externally imposed change the purpose of risk identic cation is to identify risks to the maximum extent that is practicable the fact that some risks are unknowable or emergent requires the identify risk process to be iterative repeating the identify risks process to i and new risks which have become knowable since the previous iteration of the process when a risk is i rest identic edh potential responses may also be identic end at the same time these should be recorded during the identify risks process and considered for immediate action if such action is appropriate where such responses are not implemented immediately these should be considered during the plan risk responses process,risk managed rest edh risk management planning completed rest process project risk management process aims identify risks project objectives identify risks outset project time level project risk exposure changes result decisions actions taken project change imposed change purpose risk cation identify risks extent fact risks requires identify risk process repeating identify risks process risks become iteration process risk rest responses end time recorded risks process considered action action responses implemented considered plan risk responses process,"{('identify', 'risk'): 5, ('risk', 'process'): 3, ('risk', 'management'): 2, ('project', 'risk'): 2, ('process', 'risk'): 2, ('risk', 'managed'): 1, ('managed', 'rest'): 1, ('rest', 'edh'): 1, ('edh', 'risk'): 1, ('management', 'planning'): 1}","{('identify', 'risk', 'process'): 2, ('risk', 'managed', 'rest'): 1, ('managed', 'rest', 'edh'): 1, ('rest', 'edh', 'risk'): 1, ('edh', 'risk', 'management'): 1, ('risk', 'management', 'planning'): 1, ('management', 'planning', 'completed'): 1, ('planning', 'completed', 'rest'): 1, ('completed', 'rest', 'process'): 1, ('rest', 'process', 'project'): 1}","{'risk': 15, 'process': 7, 'project': 5, 'identify': 5, 'rest': 3, 'change': 3, 'action': 3, 'response': 3, 'management': 2, 'time': 2}"
1,1,5.2 Critical Success Factors for the Identify Risks Process,,"The practices described in Sections 5.2.1 through 5.2.10 will maximize the value and effectiveness of the
Identify Risks process and enhance the likelihood of identifying as many risks as practicable.",The practices described in Sections 5.2.1 through 5.2.10 will maximize the value and effectiveness of the Identify Risks process and enhance the likelihood of identifying as many risks as practicable,the practices described in sections 5 2 1 through 5 2 10 will maximize the value and effectiveness of the identify risks process and enhance the likelihood of identifying as many risks as practicable,practices described sections maximize value effectiveness risks process enhance likelihood identifying risks,"{('practice', 'described'): 1, ('described', 'section'): 1, ('section', 'maximize'): 1, ('maximize', 'value'): 1, ('value', 'effectiveness'): 1, ('effectiveness', 'risk'): 1, ('risk', 'process'): 1, ('process', 'enhance'): 1, ('enhance', 'likelihood'): 1, ('likelihood', 'identifying'): 1}","{('practice', 'described', 'section'): 1, ('described', 'section', 'maximize'): 1, ('section', 'maximize', 'value'): 1, ('maximize', 'value', 'effectiveness'): 1, ('value', 'effectiveness', 'risk'): 1, ('effectiveness', 'risk', 'process'): 1, ('risk', 'process', 'enhance'): 1, ('process', 'enhance', 'likelihood'): 1, ('enhance', 'likelihood', 'identifying'): 1, ('likelihood', 'identifying', 'risk'): 1}","{'risk': 2, 'practice': 1, 'described': 1, 'section': 1, 'maximize': 1, 'value': 1, 'effectiveness': 1, 'process': 1, 'enhance': 1, 'likelihood': 1}"
2,2,5.2.1 Early Identiﬁ cation,,"Risk identiﬁ cation should be performed as early as possible in the project lifecycle, recognizing the paradox
that uncertainty is high in the initial stages of a project so there is often less information on which to base the
risk identiﬁ cation. Early risk identiﬁ cation enables key project decisions to take maximum account of risks
inherent in the project, and may result in changes to the project strategy. It also maximizes the time available
for development and implementation of risk responses, which enhances efﬁ ciency since responses taken early
are often normally less costly than later ones.
26
5
CHAPTER 5 − IDENTIFY RISKS","Risk identic cation should be performed as early as possible in the project lifecycle, recognizing the paradox that uncertainty is high in the initial stages of a project so there is often less information on which to base the risk identic cation Early risk identic cation enables key project decisions to take maximum account of risks inherent in the project and may result in changes to the project strategy It also maximizes the time available for development and implementation of risk responses which enhances eff science since responses taken early are often normally less costly than later ones 26 5 CHAPTER 5 i IDENTIFY RISKS",risk identic cation should be performed as early as possible in the project lifecycle recognizing the paradox that uncertainty is high in the initial stages of a project so there is often less information on which to base the risk identic cation early risk identic cation enables key project decisions to take maximum account of risks inherent in the project and may result in changes to the project strategy it also maximizes the time available for development and implementation of risk responses which enhances eff science since responses taken early are often normally less costly than later ones 26 5 chapter 5 i identify risks,risk cation performed project lifecycle recognizing paradox uncertainty stages project information base risk cation risk cation enables project decisions take account risks project result changes project strategy maximizes time development implementation risk responses enhances eff science responses taken ones chapter identify risks,"{('risk', 'cation'): 3, ('cation', 'performed'): 1, ('performed', 'project'): 1, ('project', 'lifecycle'): 1, ('lifecycle', 'recognizing'): 1, ('recognizing', 'paradox'): 1, ('paradox', 'uncertainty'): 1, ('uncertainty', 'stage'): 1, ('stage', 'project'): 1, ('project', 'information'): 1}","{('risk', 'cation', 'performed'): 1, ('cation', 'performed', 'project'): 1, ('performed', 'project', 'lifecycle'): 1, ('project', 'lifecycle', 'recognizing'): 1, ('lifecycle', 'recognizing', 'paradox'): 1, ('recognizing', 'paradox', 'uncertainty'): 1, ('paradox', 'uncertainty', 'stage'): 1, ('uncertainty', 'stage', 'project'): 1, ('stage', 'project', 'information'): 1, ('project', 'information', 'base'): 1}","{'risk': 6, 'project': 5, 'cation': 3, 'response': 2, 'performed': 1, 'lifecycle': 1, 'recognizing': 1, 'paradox': 1, 'uncertainty': 1, 'stage': 1}"
3,3,5.2.2 Iterative Identiﬁ cation,,"Since not all risks can be identiﬁ ed at any given point in the project, it is essential that risk identiﬁ cation is
repeated throughout the project life cycle. This should be done periodically, at a frequency determined during
the Plan Risk Management process. Risk identiﬁ cation might also be repeated at key milestones in the project,
or whenever there is signiﬁ cant change to the project or its operating environment.",Since not all risks can be identic end at any given point in the project it is essential that risk identic cation is repeated throughout the project life cycle This should be done periodically at a frequency determined during the Plan Risk Management process Risk identic cation might also be repeated at key milestones in the project or whenever there is sign cant change to the project or its operating environment,since not all risks can be identic end at any given point in the project it is essential that risk identic cation is repeated throughout the project life cycle this should be done periodically at a frequency determined during the plan risk management process risk identic cation might also be repeated at key milestones in the project or whenever there is sign cant change to the project or its operating environment,risks end given point project risk cation repeated project life cycle done frequency determined plan risk management process risk cation repeated milestones project whenever change project operating environment,"{('risk', 'cation'): 2, ('cation', 'repeated'): 2, ('risk', 'end'): 1, ('end', 'given'): 1, ('given', 'point'): 1, ('point', 'project'): 1, ('project', 'risk'): 1, ('repeated', 'project'): 1, ('project', 'life'): 1, ('life', 'cycle'): 1}","{('risk', 'cation', 'repeated'): 2, ('risk', 'end', 'given'): 1, ('end', 'given', 'point'): 1, ('given', 'point', 'project'): 1, ('point', 'project', 'risk'): 1, ('project', 'risk', 'cation'): 1, ('cation', 'repeated', 'project'): 1, ('repeated', 'project', 'life'): 1, ('project', 'life', 'cycle'): 1, ('life', 'cycle', 'done'): 1}","{'risk': 4, 'project': 4, 'cation': 2, 'repeated': 2, 'end': 1, 'given': 1, 'point': 1, 'life': 1, 'cycle': 1, 'done': 1}"
4,4,5.2.3 Emergent Identiﬁ cation,,"In addition to invoking the Identify Risks process as deﬁ ned in the project plan, the Project Risk Management
process should permit risks to be identiﬁ ed at any time, not limited to formal risk identiﬁ cation events or
regular reviews.",In addition to invoking the Identify Risks process as de need in the project plan the Project Risk Management process should permit risks to be identic end at any time not limited to formal risk identic cation events or regular reviews,in addition to invoking the identify risks process as de need in the project plan the project risk management process should permit risks to be identic end at any time not limited to formal risk identic cation events or regular reviews,addition invoking identify risks process de need project plan project risk management process permit risks end time limited risk cation events reviews,"{('addition', 'invoking'): 1, ('invoking', 'identify'): 1, ('identify', 'risk'): 1, ('risk', 'process'): 1, ('process', 'de'): 1, ('de', 'need'): 1, ('need', 'project'): 1, ('project', 'plan'): 1, ('plan', 'project'): 1, ('project', 'risk'): 1}","{('addition', 'invoking', 'identify'): 1, ('invoking', 'identify', 'risk'): 1, ('identify', 'risk', 'process'): 1, ('risk', 'process', 'de'): 1, ('process', 'de', 'need'): 1, ('de', 'need', 'project'): 1, ('need', 'project', 'plan'): 1, ('project', 'plan', 'project'): 1, ('plan', 'project', 'risk'): 1, ('project', 'risk', 'management'): 1}","{'risk': 4, 'process': 2, 'project': 2, 'addition': 1, 'invoking': 1, 'identify': 1, 'de': 1, 'need': 1, 'plan': 1, 'management': 1}"
5,5,5.2.4 Comprehensive Identiﬁ cation,,"A broad range of sources of risk should be considered to ensure that as many uncertainties as possible that
might affect objectives have been identiﬁ ed.",A broad range of sources of risk should be considered to ensure that as many uncertainties as possible that might affect objectives have been identic edh,a broad range of sources of risk should be considered to ensure that as many uncertainties as possible that might affect objectives have been identic edh,range sources risk considered ensure uncertainties affect objectives edh,"{('range', 'source'): 1, ('source', 'risk'): 1, ('risk', 'considered'): 1, ('considered', 'ensure'): 1, ('ensure', 'uncertainty'): 1, ('uncertainty', 'affect'): 1, ('affect', 'objective'): 1, ('objective', 'edh'): 1}","{('range', 'source', 'risk'): 1, ('source', 'risk', 'considered'): 1, ('risk', 'considered', 'ensure'): 1, ('considered', 'ensure', 'uncertainty'): 1, ('ensure', 'uncertainty', 'affect'): 1, ('uncertainty', 'affect', 'objective'): 1, ('affect', 'objective', 'edh'): 1}","{'range': 1, 'source': 1, 'risk': 1, 'considered': 1, 'ensure': 1, 'uncertainty': 1, 'affect': 1, 'objective': 1, 'edh': 1}"
6,6,5.2.5 Explicit Identiﬁ cation of Opportunities,,The Identify Risks process should ensure opportunities are properly considered.,The Identify Risks process should ensure opportunities are properly considered,the identify risks process should ensure opportunities are properly considered,identify risks process ensure opportunities considered,"{('identify', 'risk'): 1, ('risk', 'process'): 1, ('process', 'ensure'): 1, ('ensure', 'opportunity'): 1, ('opportunity', 'considered'): 1}","{('identify', 'risk', 'process'): 1, ('risk', 'process', 'ensure'): 1, ('process', 'ensure', 'opportunity'): 1, ('ensure', 'opportunity', 'considered'): 1}","{'identify': 1, 'risk': 1, 'process': 1, 'ensure': 1, 'opportunity': 1, 'considered': 1}"
7,7,5.2.6 Multiple Perspectives,,"The Identify Risks process should take input from a broad range of project stakeholders to ensure that
all perspectives are represented and considered. Limiting risk identiﬁ cation to the immediate project team is
unlikely to expose all knowable risks.",The Identify Risks process should take input from a broad range of project stakeholders to ensure that all perspectives are represented and considered Limiting risk identic cation to the immediate project team is unlikely to expose all knowable risks,the identify risks process should take input from a broad range of project stakeholders to ensure that all perspectives are represented and considered limiting risk identic cation to the immediate project team is unlikely to expose all knowable risks,identify risks process take input range project stakeholders ensure perspectives represented considered limiting risk cation project team expose risks,"{('identify', 'risk'): 1, ('risk', 'process'): 1, ('process', 'take'): 1, ('take', 'input'): 1, ('input', 'range'): 1, ('range', 'project'): 1, ('project', 'stakeholder'): 1, ('stakeholder', 'ensure'): 1, ('ensure', 'perspective'): 1, ('perspective', 'represented'): 1}","{('identify', 'risk', 'process'): 1, ('risk', 'process', 'take'): 1, ('process', 'take', 'input'): 1, ('take', 'input', 'range'): 1, ('input', 'range', 'project'): 1, ('range', 'project', 'stakeholder'): 1, ('project', 'stakeholder', 'ensure'): 1, ('stakeholder', 'ensure', 'perspective'): 1, ('ensure', 'perspective', 'represented'): 1, ('perspective', 'represented', 'considered'): 1}","{'risk': 3, 'project': 2, 'identify': 1, 'process': 1, 'take': 1, 'input': 1, 'range': 1, 'stakeholder': 1, 'ensure': 1, 'perspective': 1}"
8,8,5.2.7 Risks Linked to Project Objectives,,"Each identiﬁ ed project risk should relate to at least one project objective (time, cost, quality, scope, etc.),
noting that the  PMBOK  ®  Guide  deﬁ nes risk as an uncertain event or condition that, if it occurs, has a positive
or a negative effect on a project’s objectives. Consideration of each project objective during the Identify Risks
process will assist in identifying risks, noting that some risks may affect more than one objective.","Each identic end project risk should relate to at least one project objective time cost quality scope etc.), noting that the amok i Guide de new risk as an uncertain event or condition that if it occurs has a positive or a negative effect on a projects objectives Consideration of each project objective during the Identify Risks process will assist in identifying risks noting that some risks may affect more than one objective",each identic end project risk should relate to at least one project objective time cost quality scope etc noting that the amok i guide de new risk as an uncertain event or condition that if it occurs has a positive or a negative effect on a projects objectives consideration of each project objective during the identify risks process will assist in identifying risks noting that some risks may affect more than one objective,end project risk relate project time cost quality scope etc noting amok guide risk event condition occurs effect projects objectives consideration project objective risks process assist identifying risks noting risks affect objective,"{('project', 'objective'): 2, ('end', 'project'): 1, ('project', 'risk'): 1, ('risk', 'relate'): 1, ('relate', 'project'): 1, ('project', 'time'): 1, ('time', 'cost'): 1, ('cost', 'quality'): 1, ('quality', 'scope'): 1, ('scope', 'etc'): 1}","{('end', 'project', 'risk'): 1, ('project', 'risk', 'relate'): 1, ('risk', 'relate', 'project'): 1, ('relate', 'project', 'time'): 1, ('project', 'time', 'cost'): 1, ('time', 'cost', 'quality'): 1, ('cost', 'quality', 'scope'): 1, ('quality', 'scope', 'etc'): 1, ('scope', 'etc', 'noting'): 1, ('etc', 'noting', 'amok'): 1}","{'risk': 5, 'project': 4, 'objective': 3, 'noting': 2, 'end': 1, 'relate': 1, 'time': 1, 'cost': 1, 'quality': 1, 'scope': 1}"
9,9,5.2.8 Complete Risk Statement,,"Identiﬁ ed risks should be clearly and unambiguously described, so that they can be understood by those
responsible for risk assessment and risk response planning. Single words or phrases such as “resources”
or “logistics” are inadequate and do not properly communicate the nature of the risk. More detailed risk
descriptions are required which explicitly state the uncertainty and its causes and effects.
27
5
CHAPTER 5 − IDENTIFY RISKS",identic end risks should be clearly and unambiguously described so that they can be understood by those responsible for risk assessment and risk response planning Single words or phrases such as resources or logistics are inadequate and do not properly communicate the nature of the risk More detailed risk descriptions are required which explicitly state the uncertainty and its causes and effects 27 5 CHAPTER 5 i IDENTIFY RISKS,identic end risks should be clearly and unambiguously described so that they can be understood by those responsible for risk assessment and risk response planning single words or phrases such as resources or logistics are inadequate and do not properly communicate the nature of the risk more detailed risk descriptions are required which explicitly state the uncertainty and its causes and effects 27 5 chapter 5 i identify risks,end risks described understood risk assessment risk response planning words phrases resources logistics communicate nature risk risk descriptions required state uncertainty causes effects chapter identify risks,"{('end', 'risk'): 1, ('risk', 'described'): 1, ('described', 'understood'): 1, ('understood', 'risk'): 1, ('risk', 'assessment'): 1, ('assessment', 'risk'): 1, ('risk', 'response'): 1, ('response', 'planning'): 1, ('planning', 'word'): 1, ('word', 'phrase'): 1}","{('end', 'risk', 'described'): 1, ('risk', 'described', 'understood'): 1, ('described', 'understood', 'risk'): 1, ('understood', 'risk', 'assessment'): 1, ('risk', 'assessment', 'risk'): 1, ('assessment', 'risk', 'response'): 1, ('risk', 'response', 'planning'): 1, ('response', 'planning', 'word'): 1, ('planning', 'word', 'phrase'): 1, ('word', 'phrase', 'resource'): 1}","{'risk': 6, 'end': 1, 'described': 1, 'understood': 1, 'assessment': 1, 'response': 1, 'planning': 1, 'word': 1, 'phrase': 1, 'resource': 1}"
