,Titre,Sous-titre,Contenu,Contenu_corrected,cleaned_text,text_without_SW,bigram_freq,trigram_freq,token_freq
0,9.1 Purpose and Objectives of the Monitor and Control Risks Process,,"The primary objectives of risk monitoring and controlling are to track identiﬁ ed risks, monitor residual risks,
identify new risks, ensure that risk response plans are executed at the appropriate time, and evaluate their
effectiveness throughout the project life cycle.
In addition to tracking and managing the risk response actions, the effectiveness of all of the Project
Risk Management processes should be reviewed to provide improvements to the management of the current
project as well as future ones.
For each risk or set of risks for which a contingent response has been deﬁ ned, the corresponding set of
trigger conditions should have been speciﬁ ed. It is the responsibility of the action owner to ensure that these
conditions are effectively monitored and that the corresponding actions are carried out as deﬁ ned, in a timely
manner.
Once the Plan Risk Responses process is complete, all of the approved unconditional response actions
should have been included and deﬁ ned in the current project management plan. The ﬁ rst action of risk
monitoring and controlling is to check whether this is the case and take any appropriate action if necessary,
such as invoking the change management process with respect to any missing actions. This will then ensure
that the agreed-upon actions are carried out within the normal project execution framework.
The risk owners and risk action owners need to be briefed on any changes that may affect their
responsibilities. Effective communication needs to be maintained between them and the project manager so
that the designated stakeholders accept accountability for controlling the potential outcomes of speciﬁ c risks,
apply their best efforts to track the associated trigger conditions and carry out the agreed-upon responses in
a timely manner.
In addition to the response actions and trigger conditions, a mechanism for measuring the effectiveness
of the response is provided by the Plan Risk Responses process. The risk action owner should keep the risk
owner aware of the status of the response actions so that the risk owner can decide when the risk has been
effectively dealt with, or whether additional actions need to be planned and implemented.
52
9
CHAPTER 9 − MONITOR AND CONTROL RISKS
As the project progresses, additional information becomes available and the project environment may
change as some risks occur, whether foreseen or unforeseen, and others become or cease to be relevant.
The planning should therefore be kept current and the project manager should ensure that periodic risk
reassessment, including risk identiﬁ cation, analysis, and response planning, is repeated at reasonable intervals,
or in response to project events—without generating excessive administrative overhead. Typical reasons for
risk reassessment are:
Occurrence of a major or unexpected risk,
•
Need to analyze a complex change request,
•
Phase end review,
•
Project re-planning or major plan elaboration, and
•
Periodic review to ensure that the information remains current.
•
In the event of major organizational changes, risk management planning may need to be revisited prior to
reassessing the risks.
In addition to the regular status reviews, periodic audits should be performed to determine strengths and
weaknesses in handling risks within the project. This should entail identifying any barriers to effectiveness or
keys to success in risk management, recognition of which could lead to improvements in risk management of
the current or future projects.
At the end of the project, an integrated analysis of the risk management process should be carried out
with a focus on long-term process improvements. This analysis consolidates the ﬁ ndings of the periodic
audits to identify lessons that would be applicable in general to a large proportion of the organization’s
projects in the future, such as appropriate levels of resources, adequate time for the analysis, use of tools,
level of detail, etc.
At project closure, the project manager should ensure that a description has been given of the closure of
every risk in the risk register, for example: (a) did not occur; (b) occurred and contingency plan invoked; or (c)
occurred and impact to the project scope (i.e., time, cost, and quality).
The output of the audit of the risk management process should be consolidated with speciﬁ c information
with respect to the project’s experience of risks, and any generally applicable guidelines for the organization
should be highlighted and potential actions proposed for applying them. This can lead to an update to the
corresponding organizational process assets.
An overview of the steps involved in the Monitor and Control Risks process is given in Figure 9-1.
53
9
CHAPTER 9 − MONITOR AND CONTROL RISKS
Figure 9-1. Schematic Representation of the Monitor and Control Risks Process","The primary objectives of risk monitoring and controlling are to track identic end risks monitor residual risks identify new risks ensure that risk response plans are executed at the appropriate time and evaluate their effectiveness throughout the project life cycle In addition to tracking and managing the risk response actions the effectiveness of all of the Project Risk Management processes should be reviewed to provide improvements to the management of the current project as well as future ones For each risk or set of risks for which a contingent response has been de need the corresponding set of trigger conditions should have been specie edh It is the responsibility of the action owner to ensure that these conditions are effectively monitored and that the corresponding actions are carried out as de need in a timely manner Once the Plan Risk Responses process is complete all of the approved unconditional response actions should have been included and de need in the current project management plan The i rest action of risk monitoring and controlling is to check whether this is the case and take any appropriate action if necessary such as invoking the change management process with respect to any missing actions This will then ensure that the agreed-upon actions are carried out within the normal project execution framework The risk owners and risk action owners need to be briefed on any changes that may affect their responsibilities Effective communication needs to be maintained between them and the project manager so that the designated stakeholders accept accountability for controlling the potential outcomes of specie c risks apply their best efforts to track the associated trigger conditions and carry out the agreed-upon responses in a timely manner In addition to the response actions and trigger conditions a mechanism for measuring the effectiveness of the response is provided by the Plan Risk Responses process The risk action owner should keep the risk owner aware of the status of the response actions so that the risk owner can decide when the risk has been effectively dealt with or whether additional actions need to be planned and implemented 52 9 CHAPTER 9 i MONITOR AND CONTROL RISKS As the project progresses additional information becomes available and the project environment may change as some risks occur whether foreseen or unforeseen and others become or cease to be relevant The planning should therefore be kept current and the project manager should ensure that periodic risk reassessment including risk identic cation analysis and response planning is repeated at reasonable intervals or in response to project events—without generating excessive administrative overhead Typical reasons for risk reassessment are Occurrence of a major or unexpected risk i Need to analyze a complex change request i Phase end review i Project replanting or major plan elaboration and i Periodic review to ensure that the information remains current i In the event of major organizational changes risk management planning may need to be revisited prior to reassessing the risks In addition to the regular status reviews periodic audits should be performed to determine strengths and weaknesses in handling risks within the project This should entail identifying any barriers to effectiveness or keys to success in risk management recognition of which could lead to improvements in risk management of the current or future projects At the end of the project an integrated analysis of the risk management process should be carried out with a focus on long-term process improvements This analysis consolidates the i dings of the periodic audits to identify lessons that would be applicable in general to a large proportion of the organizations projects in the future such as appropriate levels of resources adequate time for the analysis use of tools level of details etch At project closure the project manager should ensure that a description has been given of the closure of every risk in the risk register for example a did not occur be occurred and contingency plan invoked or act occurred and impact to the project scope (i.e., time cost and quality The output of the audit of the risk management process should be consolidated with specie c information with respect to the projects experience of risks and any generally applicable guidelines for the organization should be highlighted and potential actions proposed for applying them This can lead to an update to the corresponding organizational process assets An overview of the steps involved in the Monitor and Control Risks process is given in Figure 9-1. 53 9 CHAPTER 9 i MONITOR AND CONTROL RISKS Figure 9-1. Schematic Representation of the Monitor and Control Risks Process",the primary objectives of risk monitoring and controlling are to track identic end risks monitor residual risks identify new risks ensure that risk response plans are executed at the appropriate time and evaluate their effectiveness throughout the project life cycle in addition to tracking and managing the risk response actions the effectiveness of all of the project risk management processes should be reviewed to provide improvements to the management of the current project as well as future ones for each risk or set of risks for which a contingent response has been de need the corresponding set of trigger conditions should have been specie edh it is the responsibility of the action owner to ensure that these conditions are effectively monitored and that the corresponding actions are carried out as de need in a timely manner once the plan risk responses process is complete all of the approved unconditional response actions should have been included and de need in the current project management plan the i rest action of risk monitoring and controlling is to check whether this is the case and take any appropriate action if necessary such as invoking the change management process with respect to any missing actions this will then ensure that the agreed upon actions are carried out within the normal project execution framework the risk owners and risk action owners need to be briefed on any changes that may affect their responsibilities effective communication needs to be maintained between them and the project manager so that the designated stakeholders accept accountability for controlling the potential outcomes of specie c risks apply their best efforts to track the associated trigger conditions and carry out the agreed upon responses in a timely manner in addition to the response actions and trigger conditions a mechanism for measuring the effectiveness of the response is provided by the plan risk responses process the risk action owner should keep the risk owner aware of the status of the response actions so that the risk owner can decide when the risk has been effectively dealt with or whether additional actions need to be planned and implemented 52 9 chapter 9 i monitor and control risks as the project progresses additional information becomes available and the project environment may change as some risks occur whether foreseen or unforeseen and others become or cease to be relevant the planning should therefore be kept current and the project manager should ensure that periodic risk reassessment including risk identic cation analysis and response planning is repeated at reasonable intervals or in response to project events without generating excessive administrative overhead typical reasons for risk reassessment are occurrence of a major or unexpected risk i need to analyze a complex change request i phase end review i project replanting or major plan elaboration and i periodic review to ensure that the information remains current i in the event of major organizational changes risk management planning may need to be revisited prior to reassessing the risks in addition to the regular status reviews periodic audits should be performed to determine strengths and weaknesses in handling risks within the project this should entail identifying any barriers to effectiveness or keys to success in risk management recognition of which could lead to improvements in risk management of the current or future projects at the end of the project an integrated analysis of the risk management process should be carried out with a focus on long term process improvements this analysis consolidates the i dings of the periodic audits to identify lessons that would be applicable in general to a large proportion of the organizations projects in the future such as appropriate levels of resources adequate time for the analysis use of tools level of details etch at project closure the project manager should ensure that a description has been given of the closure of every risk in the risk register for example a did not occur be occurred and contingency plan invoked or act occurred and impact to the project scope i e time cost and quality the output of the audit of the risk management process should be consolidated with specie c information with respect to the projects experience of risks and any generally applicable guidelines for the organization should be highlighted and potential actions proposed for applying them this can lead to an update to the corresponding organizational process assets an overview of the steps involved in the monitor and control risks process is given in figure 9 1 53 9 chapter 9 i monitor and control risks figure 9 1 schematic representation of the monitor and control risks process,objectives risk monitoring controlling track end risks monitor risks identify risks ensure risk response plans executed time evaluate effectiveness project life cycle addition tracking managing risk response actions effectiveness project risk management processes reviewed provide improvements management project ones risk set risks contingent response need set trigger conditions edh responsibility action owner ensure conditions monitored actions carried de need manner plan risk responses process response actions included project management plan rest action risk monitoring controlling check case take action invoking change management process respect actions ensure agreed actions carried project execution framework risk owners risk action owners need briefed changes affect responsibilities communication needs maintained project manager stakeholders accept accountability controlling outcomes c risks apply efforts track trigger conditions carry agreed responses manner addition response actions trigger conditions mechanism measuring effectiveness response provided plan risk responses risk action owner keep risk owner aware status response actions risk owner decide risk actions need planned implemented chapter monitor control risks project progresses information becomes project environment change risks occur foreseen others become cease planning kept project manager ensure risk reassessment including risk cation analysis response planning repeated intervals response project events generating reasons risk reassessment occurrence risk need analyze change request phase end review project replanting plan elaboration review ensure information remains event changes risk management planning need revisited reassessing risks addition status reviews periodic audits performed determine strengths weaknesses handling risks project entail identifying barriers effectiveness keys success risk management recognition lead improvements risk management projects end project analysis risk management process carried focus term process improvements analysis consolidates dings audits identify lessons proportion organizations projects future levels resources time analysis use tools level details etch project closure project manager ensure description given closure risk risk register example occurred contingency plan invoked act impact project scope time cost quality output audit risk management process consolidated c information respect projects experience risks guidelines organization highlighted actions proposed applying lead update process assets overview steps involved monitor control risks process given figure chapter monitor control risks figure representation monitor control risks process,"{('risk', 'management'): 6, ('risk', 'response'): 4, ('response', 'action'): 4, ('management', 'process'): 4, ('monitor', 'control'): 4, ('control', 'risk'): 4, ('trigger', 'condition'): 3, ('action', 'owner'): 3, ('risk', 'owner'): 3, ('risk', 'action'): 3}","{('monitor', 'control', 'risk'): 4, ('risk', 'management', 'process'): 3, ('risk', 'monitoring', 'controlling'): 2, ('plan', 'risk', 'response'): 2, ('risk', 'action', 'owner'): 2, ('chapter', 'monitor', 'control'): 2, ('project', 'manager', 'ensure'): 2, ('control', 'risk', 'process'): 2, ('objective', 'risk', 'monitoring'): 1, ('monitoring', 'controlling', 'track'): 1}","{'risk': 38, 'project': 19, 'action': 14, 'response': 12, 'management': 9, 'process': 9, 'need': 7, 'ensure': 6, 'plan': 6, 'owner': 6}"
1,9.2 Critical Success Factors for the Monitor and Control Risks Process,,"Critical success factors relate to maintaining risk awareness throughout the project and include the
characteristics and capabilities detailed in Sections 9.2.1 through 9.2.3.",Critical success factors relate to maintaining risk awareness throughout the project and include the characteristics and capabilities detailed in Sections 9.2.1 through 9.2.3.,critical success factors relate to maintaining risk awareness throughout the project and include the characteristics and capabilities detailed in sections 9 2 1 through 9 2 3,success factors relate maintaining risk awareness project include characteristics capabilities detailed sections,"{('success', 'factor'): 1, ('factor', 'relate'): 1, ('relate', 'maintaining'): 1, ('maintaining', 'risk'): 1, ('risk', 'awareness'): 1, ('awareness', 'project'): 1, ('project', 'include'): 1, ('include', 'characteristic'): 1, ('characteristic', 'capability'): 1, ('capability', 'detailed'): 1}","{('success', 'factor', 'relate'): 1, ('factor', 'relate', 'maintaining'): 1, ('relate', 'maintaining', 'risk'): 1, ('maintaining', 'risk', 'awareness'): 1, ('risk', 'awareness', 'project'): 1, ('awareness', 'project', 'include'): 1, ('project', 'include', 'characteristic'): 1, ('include', 'characteristic', 'capability'): 1, ('characteristic', 'capability', 'detailed'): 1, ('capability', 'detailed', 'section'): 1}","{'success': 1, 'factor': 1, 'relate': 1, 'maintaining': 1, 'risk': 1, 'awareness': 1, 'project': 1, 'include': 1, 'characteristic': 1, 'capability': 1}"
2,9.2.1 Integrate Risk Monitoring and Control with Project Monitoring and Control,,"From the start, the project management plan should include the actions required to monitor and control
project risk. This should be set up early in the project planning cycle, and then adjusted in view of the risk
response planning decisions adding, for example, the actions associated with monitoring speciﬁ c conditions
or metrics. Once risk response planning has been carried out, the project schedule should include all of the
agreed-upon, response-related actions so that they can be carried out as a normal part of project execution
and tracked accordingly.
54
9
CHAPTER 9 − MONITOR AND CONTROL RISKS","From the start the project management plan should include the actions required to monitor and control project risk This should be set up early in the project planning cycle and then adjusted in view of the risk response planning decisions adding for example the actions associated with monitoring specie c conditions or metrics Once risk response planning has been carried out the project schedule should include all of the agreed-upon, response-related actions so that they can be carried out as a normal part of project execution and tracked accordingly 54 9 CHAPTER 9 i MONITOR AND CONTROL RISKS",from the start the project management plan should include the actions required to monitor and control project risk this should be set up early in the project planning cycle and then adjusted in view of the risk response planning decisions adding for example the actions associated with monitoring specie c conditions or metrics once risk response planning has been carried out the project schedule should include all of the agreed upon response related actions so that they can be carried out as a normal part of project execution and tracked accordingly 54 9 chapter 9 i monitor and control risks,start project management plan include actions required monitor control project risk set project planning cycle adjusted view risk response planning decisions adding example actions associated monitoring specie c conditions metrics risk response planning carried project schedule include agreed response actions carried part project execution tracked chapter monitor control risks,"{('monitor', 'control'): 2, ('risk', 'response'): 2, ('response', 'planning'): 2, ('start', 'project'): 1, ('project', 'management'): 1, ('management', 'plan'): 1, ('plan', 'include'): 1, ('include', 'action'): 1, ('action', 'required'): 1, ('required', 'monitor'): 1}","{('risk', 'response', 'planning'): 2, ('start', 'project', 'management'): 1, ('project', 'management', 'plan'): 1, ('management', 'plan', 'include'): 1, ('plan', 'include', 'action'): 1, ('include', 'action', 'required'): 1, ('action', 'required', 'monitor'): 1, ('required', 'monitor', 'control'): 1, ('monitor', 'control', 'project'): 1, ('control', 'project', 'risk'): 1}","{'project': 5, 'risk': 4, 'action': 3, 'planning': 3, 'response': 3, 'include': 2, 'monitor': 2, 'control': 2, 'carried': 2, 'start': 1}"
3,9.2.2 Continuously Monitor Risk Trigger Conditions,,"Risk response planning will have deﬁ ned a set of actions to be carried out as part of the project schedule
as well as actions whose execution is dependent on a predeﬁ ned trigger condition. Checking for speciﬁ cally
deﬁ ned risks that may trigger conditional responses is the responsibility of the risk action owner, in close
collaboration with the risk owner under the overall authority of the project manager.",Risk response planning will have de need a set of actions to be carried out as part of the project schedule as well as actions whose execution is dependent on a prefer need trigger condition Checking for specie call de need risks that may trigger conditional responses is the responsibility of the risk action owner in close collaboration with the risk owner under the overall authority of the project manager,risk response planning will have de need a set of actions to be carried out as part of the project schedule as well as actions whose execution is dependent on a prefer need trigger condition checking for specie call de need risks that may trigger conditional responses is the responsibility of the risk action owner in close collaboration with the risk owner under the overall authority of the project manager,risk response planning de need set actions carried part project schedule actions execution prefer need condition checking call risks trigger responses responsibility risk action owner collaboration risk owner authority project manager,"{('risk', 'response'): 1, ('response', 'planning'): 1, ('planning', 'de'): 1, ('de', 'need'): 1, ('need', 'set'): 1, ('set', 'action'): 1, ('action', 'carried'): 1, ('carried', 'part'): 1, ('part', 'project'): 1, ('project', 'schedule'): 1}","{('risk', 'response', 'planning'): 1, ('response', 'planning', 'de'): 1, ('planning', 'de', 'need'): 1, ('de', 'need', 'set'): 1, ('need', 'set', 'action'): 1, ('set', 'action', 'carried'): 1, ('action', 'carried', 'part'): 1, ('carried', 'part', 'project'): 1, ('part', 'project', 'schedule'): 1, ('project', 'schedule', 'action'): 1}","{'risk': 4, 'action': 3, 'response': 2, 'need': 2, 'project': 2, 'owner': 2, 'planning': 1, 'de': 1, 'set': 1, 'carried': 1}"
4,9.2.3 Maintain Risk Awareness,,"Risk management reports should be a regular item on every status meeting agenda to ensure that all team
members remain aware of the importance of risk management and to ensure that it is fully integrated into all
of the project management decisions.
The project’s senior-level sponsor should require regular reports on the risks and the planned responses
to ensure that stakeholders are aware of the importance of keeping a focus on risk. Sponsor feedback also
motivates the project team by demonstrating senior-level interest in Project Risk Management.
Stakeholders’ perception of the effectiveness of risk management is conditioned in part by the way in
which risks are handled as they occur, and by the number or characteristics of such events. It is therefore
crucial, whenever a risk occurs, that information about the event, as well as the progress and effectiveness of
the responses, be communicated at regular intervals and in an honest manner adapted to the needs of each
stakeholder. This should be supported by a well-executed communications plan.",Risk management reports should be a regular item on every status meeting agenda to ensure that all team members remain aware of the importance of risk management and to ensure that it is fully integrated into all of the project management decisions The projects senior-level sponsor should require regular reports on the risks and the planned responses to ensure that stakeholders are aware of the importance of keeping a focus on risk Sponsor feedback also motivates the project team by demonstrating senior-level interest in Project Risk management stakeholders perception of the effectiveness of risk management is conditioned in part by the way in which risks are handled as they occur and by the number or characteristics of such events It is therefore crucial whenever a risk occurs that information about the event as well as the progress and effectiveness of the responses be communicated at regular intervals and in an honest manner adapted to the needs of each stakeholders This should be supported by a well-executed communications plan,risk management reports should be a regular item on every status meeting agenda to ensure that all team members remain aware of the importance of risk management and to ensure that it is fully integrated into all of the project management decisions the projects senior level sponsor should require regular reports on the risks and the planned responses to ensure that stakeholders are aware of the importance of keeping a focus on risk sponsor feedback also motivates the project team by demonstrating senior level interest in project risk management stakeholders perception of the effectiveness of risk management is conditioned in part by the way in which risks are handled as they occur and by the number or characteristics of such events it is therefore crucial whenever a risk occurs that information about the event as well as the progress and effectiveness of the responses be communicated at regular intervals and in an honest manner adapted to the needs of each stakeholders this should be supported by a well executed communications plan,risk management reports item status meeting agenda ensure team members remain importance risk management ensure integrated project management decisions projects level sponsor require reports risks responses ensure stakeholders importance keeping focus risk sponsor feedback motivates project team demonstrating level interest project risk management stakeholders perception effectiveness risk management conditioned part way risks handled occur number characteristics events risk occurs information event progress effectiveness responses communicated intervals manner adapted needs stakeholders supported executed communications plan,"{('risk', 'management'): 4, ('management', 'report'): 1, ('report', 'item'): 1, ('item', 'status'): 1, ('status', 'meeting'): 1, ('meeting', 'agenda'): 1, ('agenda', 'ensure'): 1, ('ensure', 'team'): 1, ('team', 'member'): 1, ('member', 'remain'): 1}","{('risk', 'management', 'report'): 1, ('management', 'report', 'item'): 1, ('report', 'item', 'status'): 1, ('item', 'status', 'meeting'): 1, ('status', 'meeting', 'agenda'): 1, ('meeting', 'agenda', 'ensure'): 1, ('agenda', 'ensure', 'team'): 1, ('ensure', 'team', 'member'): 1, ('team', 'member', 'remain'): 1, ('member', 'remain', 'importance'): 1}","{'risk': 8, 'management': 5, 'project': 4, 'ensure': 3, 'stakeholder': 3, 'report': 2, 'team': 2, 'importance': 2, 'level': 2, 'sponsor': 2}"
5,9.3 Tools and Techniques for the Monitor and Control Risks Process,,"In addition to standard project management monitoring and control capabilities, risk monitoring and
controlling requires a focus on the tools which will support its key success factors for tracking overall risk as
well as individual risks.",In addition to standard project management monitoring and control capabilities risk monitoring and controlling requires a focus on the tools which will support its key success factors for tracking overall risk as well as individual risks,in addition to standard project management monitoring and control capabilities risk monitoring and controlling requires a focus on the tools which will support its key success factors for tracking overall risk as well as individual risks,addition standard project management monitoring control capabilities risk monitoring controlling requires focus tools support success factors tracking risk risks,"{('addition', 'standard'): 1, ('standard', 'project'): 1, ('project', 'management'): 1, ('management', 'monitoring'): 1, ('monitoring', 'control'): 1, ('control', 'capability'): 1, ('capability', 'risk'): 1, ('risk', 'monitoring'): 1, ('monitoring', 'controlling'): 1, ('controlling', 'requires'): 1}","{('addition', 'standard', 'project'): 1, ('standard', 'project', 'management'): 1, ('project', 'management', 'monitoring'): 1, ('management', 'monitoring', 'control'): 1, ('monitoring', 'control', 'capability'): 1, ('control', 'capability', 'risk'): 1, ('capability', 'risk', 'monitoring'): 1, ('risk', 'monitoring', 'controlling'): 1, ('monitoring', 'controlling', 'requires'): 1, ('controlling', 'requires', 'focus'): 1}","{'risk': 3, 'monitoring': 2, 'addition': 1, 'standard': 1, 'project': 1, 'management': 1, 'control': 1, 'capability': 1, 'controlling': 1, 'requires': 1}"
6,9.3.1 Managing Contingency Reserves,,"Reserves may have been allocated separately to cover time-related and cost-related risks. Techniques
are required that allow the project manager to assess at any point in the project whether these provide the
required level of conﬁ dence in the success of the project.
Tools for managing time buffers should be closely integrated into the project’s scheduling techniques,
whereas those for managing cost should be compatible with the ﬁ nancial practices. Tools are required to
identify trends and forecast future outcomes to determine whether the reserves will remain sufﬁ cient. Tools
are also required for tracking progress and spending in a consolidated manner.
55
9
CHAPTER 9 − MONITOR AND CONTROL RISKS",Reserves may have been allocated separately to cover time-related and cost-related risks Techniques are required that allow the project manager to assess at any point in the project whether these provide the required level of con dance in the success of the project Tools for managing time buffers should be closely integrated into the projects scheduling techniques whereas those for managing cost should be compatible with the i financial practices Tools are required to identify trends and forecast future outcomes to determine whether the reserves will remain sure client Tools are also required for tracking progress and spending in a consolidated manner 55 9 CHAPTER 9 i MONITOR AND CONTROL RISKS,reserves may have been allocated separately to cover time related and cost related risks techniques are required that allow the project manager to assess at any point in the project whether these provide the required level of con dance in the success of the project tools for managing time buffers should be closely integrated into the projects scheduling techniques whereas those for managing cost should be compatible with the i financial practices tools are required to identify trends and forecast future outcomes to determine whether the reserves will remain sure client tools are also required for tracking progress and spending in a consolidated manner 55 9 chapter 9 i monitor and control risks,reserves allocated cover time related cost risks techniques required allow project manager assess point project level con dance success project tools managing time buffers integrated projects scheduling techniques whereas managing cost practices tools required identify trends future outcomes determine reserves remain client tools required tracking progress spending manner chapter monitor control risks,"{('tool', 'required'): 2, ('reserve', 'allocated'): 1, ('allocated', 'cover'): 1, ('cover', 'time'): 1, ('time', 'related'): 1, ('related', 'cost'): 1, ('cost', 'risk'): 1, ('risk', 'technique'): 1, ('technique', 'required'): 1, ('required', 'allow'): 1}","{('reserve', 'allocated', 'cover'): 1, ('allocated', 'cover', 'time'): 1, ('cover', 'time', 'related'): 1, ('time', 'related', 'cost'): 1, ('related', 'cost', 'risk'): 1, ('cost', 'risk', 'technique'): 1, ('risk', 'technique', 'required'): 1, ('technique', 'required', 'allow'): 1, ('required', 'allow', 'project'): 1, ('allow', 'project', 'manager'): 1}","{'project': 4, 'required': 3, 'tool': 3, 'reserve': 2, 'time': 2, 'cost': 2, 'risk': 2, 'technique': 2, 'managing': 2, 'allocated': 1}"
7,9.3.2 Tracking Trigger Conditions,,"Trigger conditions and the corresponding metrics are deﬁ ned during the Plan Risk Responses process.
Tools are required to evaluate and track these conditions against the project baseline or speciﬁ ed thresholds,
based on actual status. They can be chosen to provide information on risks related to the deliverables, such as
performance, as well as on project-related features, such as time and cost.",Trigger conditions and the corresponding metrics are de need during the Plan Risk Responses process Tools are required to evaluate and track these conditions against the project baseline or specie end thresholds based on actual status They can be chosen to provide information on risks related to the deliverable such as performance as well as on project-related features such as time and cost,trigger conditions and the corresponding metrics are de need during the plan risk responses process tools are required to evaluate and track these conditions against the project baseline or specie end thresholds based on actual status they can be chosen to provide information on risks related to the deliverable such as performance as well as on project related features such as time and cost,trigger conditions metrics need plan risk responses process tools required evaluate track conditions project baseline end thresholds based status chosen provide information risks related performance project related features time cost,"{('trigger', 'condition'): 1, ('condition', 'metric'): 1, ('metric', 'need'): 1, ('need', 'plan'): 1, ('plan', 'risk'): 1, ('risk', 'response'): 1, ('response', 'process'): 1, ('process', 'tool'): 1, ('tool', 'required'): 1, ('required', 'evaluate'): 1}","{('trigger', 'condition', 'metric'): 1, ('condition', 'metric', 'need'): 1, ('metric', 'need', 'plan'): 1, ('need', 'plan', 'risk'): 1, ('plan', 'risk', 'response'): 1, ('risk', 'response', 'process'): 1, ('response', 'process', 'tool'): 1, ('process', 'tool', 'required'): 1, ('tool', 'required', 'evaluate'): 1, ('required', 'evaluate', 'track'): 1}","{'condition': 2, 'risk': 2, 'project': 2, 'related': 2, 'trigger': 1, 'metric': 1, 'need': 1, 'plan': 1, 'response': 1, 'process': 1}"
8,9.3.3 Tracking Overall Risk,,"Tools are required in order to determine, as the project progresses, whether the responses are having the
expected effect on the project’s overall level of risk.",Tools are required in order to determined as the project progresses whether the responses are having the expected effect on the projects overall level of risk,tools are required in order to determined as the project progresses whether the responses are having the expected effect on the projects overall level of risk,tools required order determined project progresses responses effect projects level risk,"{('tool', 'required'): 1, ('required', 'order'): 1, ('order', 'determined'): 1, ('determined', 'project'): 1, ('project', 'progress'): 1, ('progress', 'response'): 1, ('response', 'effect'): 1, ('effect', 'project'): 1, ('project', 'level'): 1, ('level', 'risk'): 1}","{('tool', 'required', 'order'): 1, ('required', 'order', 'determined'): 1, ('order', 'determined', 'project'): 1, ('determined', 'project', 'progress'): 1, ('project', 'progress', 'response'): 1, ('progress', 'response', 'effect'): 1, ('response', 'effect', 'project'): 1, ('effect', 'project', 'level'): 1, ('project', 'level', 'risk'): 1}","{'project': 2, 'tool': 1, 'required': 1, 'order': 1, 'determined': 1, 'progress': 1, 'response': 1, 'effect': 1, 'level': 1, 'risk': 1}"
9,9.3.4 Tracking Compliance,,"In order to monitor the quality of the execution of the risk-related plans and processes, a set of quality
metrics such as degree of variation from the baseline, should be tracked and recorded. These metrics will
normally have been deﬁ ned in the risk management plan.",In order to monitor the quality of the execution of the risk-related plans and processes a set of quality metrics such as degree of variation from the baseline should be tracked and recorded These metrics will normally have been de need in the risk management plan,in order to monitor the quality of the execution of the risk related plans and processes a set of quality metrics such as degree of variation from the baseline should be tracked and recorded these metrics will normally have been de need in the risk management plan,order monitor quality execution risk related plans processes set quality metrics degree variation baseline tracked recorded metrics risk management plan,"{('order', 'monitor'): 1, ('monitor', 'quality'): 1, ('quality', 'execution'): 1, ('execution', 'risk'): 1, ('risk', 'related'): 1, ('related', 'plan'): 1, ('plan', 'process'): 1, ('process', 'set'): 1, ('set', 'quality'): 1, ('quality', 'metric'): 1}","{('order', 'monitor', 'quality'): 1, ('monitor', 'quality', 'execution'): 1, ('quality', 'execution', 'risk'): 1, ('execution', 'risk', 'related'): 1, ('risk', 'related', 'plan'): 1, ('related', 'plan', 'process'): 1, ('plan', 'process', 'set'): 1, ('process', 'set', 'quality'): 1, ('set', 'quality', 'metric'): 1, ('quality', 'metric', 'degree'): 1}","{'quality': 2, 'risk': 2, 'plan': 2, 'metric': 2, 'order': 1, 'monitor': 1, 'execution': 1, 'related': 1, 'process': 1, 'set': 1}"
